SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.792000		    1.0000		    0.0000		   -1		  162.2604		   43.2875		  118.9729		51587.00000		3761.00000		  10.00000      10.000      0.00000       0.000
4		0.821000		    1.0000		    0.0000		   -1		  206.2518		   58.0007		  148.2511		62850.00000		 480.00000		   0.00000       0.000      0.00000       0.000
5		0.786400		    1.0000		    0.0000		   -1		  244.4349		   72.6650		  171.7699		72871.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		0.732300		    1.0000		    0.0000		   -1		  285.3309		   86.8698		  198.4611		81616.00000		 544.00000		   1.00000       1.000      0.00000       0.000
7		0.791200		    1.0000		    0.0000		   -1		  330.0001		  101.3603		  228.6398		95215.00000		 639.00000		   1.00000       1.000      0.00000       0.000
8		0.940900		    1.0000		    0.0000		   -1		  366.1414		  116.1696		  249.9718		105514.00000		 145.00000		   2.00000       2.000      0.00000       0.000
9		1.136500		    1.0000		    0.0000		   -1		  405.2750		  130.4391		  274.8359		114786.00000		   0.00000		   1.00000       1.000      0.00000       0.000
10		1.013600		    1.0000		    0.0000		   -1		  445.6315		  145.1422		  300.4893		130583.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		1.185137		    0.9998		    0.0002		 3656		  481.0948		  158.8198		  322.2751		141841.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		1.219300		    1.0000		    0.0000		 3656		  519.7578		  173.9578		  345.8000		151253.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		1.137327		    0.9998		    0.0002		 4057		  557.4050		  188.5289		  368.8761		159279.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC数量	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
1000		0.743000		    1.0000		    0.0000		   -1		  286.9580		   87.1770		  199.7810		8242.00000		  94.00000		  12.00000      12.000      0.00000       0.000
2000		0.685000		    1.0000		    0.0000		   -1		  286.6340		   87.0045		  199.6295		16478.00000		 111.00000		   0.00000       0.000      0.00000       0.000
3000		0.586333		    1.0000		    0.0000		   -1		  287.8403		   86.9277		  200.9127		24838.00000		 174.00000		   0.00000       0.000      0.00000       0.000
4000		0.834500		    1.0000		    0.0000		   -1		  286.4910		   87.0250		  199.4660		32893.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5000		0.829200		    1.0000		    0.0000		   -1		  287.7188		   87.2680		  200.4508		41219.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6000		0.862667		    1.0000		    0.0000		   -1		  286.0838		   87.0037		  199.0802		49398.00000		   0.00000		   0.00000       0.000      0.00000       0.000
7000		0.759714		    1.0000		    0.0000		   -1		  286.4894		   86.9103		  199.5791		57700.00000		   0.00000		   0.00000       0.000      0.00000       0.000
8000		0.768625		    1.0000		    0.0000		   -1		  285.4580		   86.8777		  198.5802		65889.00000		   0.00000		   0.00000       0.000      0.00000       0.000
9000		0.696111		    1.0000		    0.0000		   -1		  286.5399		   86.8220		  199.7179		74128.00000		   0.00000		   0.00000       0.000      0.00000       0.000
