SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			开机能耗		开机时延		关机能耗		关机时延
3		5.857143		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   8.00000       8.000      0.00000       0.000
4		2.428571		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		   0.00000       0.000      0.00000       0.000
5		2.285714		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		   3.00000       3.000      0.00000       0.000
6		2.000000		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		   4.00000       4.000      0.00000       0.000
7		2.857143		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		   5.00000       5.000      0.00000       0.000
8		1.750000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			开机能耗		开机时延		关机能耗		关机时延
3		3.857143		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   0.00000		   8.00000       8.000      0.00000       0.000
4		2.285714		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		   0.00000		   0.00000       0.000      0.00000       0.000
5		0.571429		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		   0.00000		   3.00000       3.000      0.00000       0.000
6		1.428571		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		   0.00000		   4.00000       4.000      0.00000       0.000
7		1.428571		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		   0.00000		   5.00000       5.000      0.00000       0.000
8		5.000000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		   0.00000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			开机能耗		开机时延		关机能耗		关机时延
3		5.000000		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   3.00000		   8.00000       8.000      0.00000       0.000
4		2.714286		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		  15.00000		   0.00000       0.000      0.00000       0.000
5		2.571429		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		  30.00000		   3.00000       3.000      0.00000       0.000
6		2.428571		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		  48.00000		   4.00000       4.000      0.00000       0.000
7		4.000000		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		  55.00000		   5.00000       5.000      0.00000       0.000
8		2.000000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		  63.00000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		  63.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.285714		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   6.00000		   0.00000		   8.00000       8.000      0.00000       0.000
4		0.000000		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		  30.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		1.428571		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		  60.00000		   0.00000		   3.00000       3.000      0.00000       0.000
6		2.857143		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		  96.00000		   0.00000		   4.00000       4.000      0.00000       0.000
7		1.428571		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		 110.00000		   0.00000		   5.00000       5.000      0.00000       0.000
8		0.000000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		 126.00000		   0.00000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		 126.00000		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		6.000000		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   6.00000		   0.00000		   8.00000       8.000      0.00000       0.000
4		2.857143		    1.0000		    0.0000		   -1		   40.1429		   22.1429		   18.0000		  30.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		3.142857		    1.0000		    0.0000		   -1		   50.7143		   28.2857		   22.4286		  60.00000		   0.00000		   1.00000       1.000      0.00000       0.000
6		11.857143		    1.0000		    0.0000		   -1		   54.5714		   29.5714		   25.0000		  96.00000		   0.00000		   1.00000       1.000      0.00000       0.000
7		2.000000		    1.0000		    0.0000		   -1		   70.5714		   42.2857		   28.2857		 108.00000		   0.00000		   1.00000       1.000      1.00000       1.000
8		2.142857		    1.0000		    0.0000		   -1		   74.7143		   44.2857		   30.4286		 122.00000		   0.00000		   1.00000       1.000      1.00000       1.000
9		2.857143		    1.0000		    0.0000		   -1		   84.4286		   48.4286		   36.0000		 158.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.571429		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   6.00000		   0.00000		   8.00000       8.000      0.00000       0.000
4		11.857143		    1.0000		    0.0000		   -1		   40.1429		   22.1429		   18.0000		  30.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		5.571429		    1.0000		    0.0000		   -1		   50.7143		   28.2857		   22.4286		  60.00000		   0.00000		   1.00000       1.000      0.00000       0.000
6		2.285714		    1.0000		    0.0000		   -1		   54.5714		   29.5714		   25.0000		  96.00000		   0.00000		   1.00000       1.000      0.00000       0.000
