linkName	source	sink	cost	bandwdith	delay
0	0	2	1	41	3
1	0	4	1	36	6
2	0	5	1	32	5
3	0	9	1	46	4
4	0	14	1	48	3
5	0	17	1	42	7
6	1	2	1	44	6
7	1	3	1	44	7
8	1	4	1	46	8
9	1	5	1	44	3
10	1	6	1	34	3
11	1	7	1	48	2
12	1	9	1	35	5
13	2	4	1	39	9
14	2	5	1	33	4
15	2	6	1	44	1
16	2	8	1	43	2
17	2	9	1	38	9
18	2	10	1	49	6
19	2	12	1	47	10
20	3	5	1	47	10
21	3	7	1	46	1
22	3	9	1	49	4
23	3	11	1	44	3
24	3	12	1	42	9
25	3	17	1	47	2
26	4	5	1	32	3
27	4	6	1	34	10
28	4	7	1	32	5
29	4	8	1	33	7
30	4	9	1	36	7
31	4	11	1	33	4
32	4	12	1	31	4
33	5	6	1	45	10
34	5	7	1	33	1
35	5	8	1	30	6
36	5	9	1	36	6
37	5	11	1	48	2
38	5	12	1	48	3
39	5	14	1	41	4
40	6	8	1	40	2
41	6	10	1	46	1
42	6	11	1	33	4
43	6	12	1	30	5
44	6	13	1	37	5
45	6	14	1	43	9
46	6	15	1	43	6
47	7	8	1	39	4
48	7	9	1	46	4
49	7	12	1	45	1
50	7	13	1	35	6
51	7	18	1	44	5
52	8	9	1	45	10
53	8	10	1	41	5
54	8	11	1	43	4
55	8	12	1	44	6
56	8	13	1	38	6
57	8	14	1	47	7
58	8	15	1	32	4
59	9	10	1	46	6
60	9	12	1	47	8
61	9	14	1	44	2
62	9	15	1	48	10
63	9	16	1	46	9
64	9	17	1	48	2
65	10	11	1	36	6
66	10	14	1	31	7
67	10	15	1	35	5
68	10	16	1	46	7
69	10	17	1	44	8
70	10	18	1	47	7
71	10	19	1	34	5
72	11	12	1	35	9
73	11	13	1	45	7
74	11	15	1	35	8
75	11	16	1	40	4
76	11	17	1	32	2
77	11	18	1	37	7
78	11	19	1	40	2
79	12	13	1	31	8
80	12	14	1	32	2
81	12	17	1	49	8
82	12	18	1	32	1
83	13	14	1	33	6
84	13	15	1	47	7
85	13	18	1	32	4
86	13	19	1	37	9
87	14	15	1	41	3
88	14	16	1	36	2
89	14	18	1	46	4
90	14	19	1	45	9
91	15	16	1	30	3
92	15	17	1	37	10
93	15	19	1	44	9
94	16	17	1	31	1
95	16	18	1	45	3
96	16	19	1	43	5
97	17	18	1	49	6
98	17	19	1	41	5
99	10	9	1	33	7
100	11	10	1	31	1
101	12	11	1	45	5
102	13	11	1	46	10
103	14	13	1	38	1
104	15	13	1	30	4
105	16	13	1	32	4
106	17	14	1	46	8
107	18	13	1	38	8
108	19	18	1	38	1
