linkName	source	sink	cost	bandwdith	delay
0	0	1	1	38	5
1	0	2	1	35	5
2	0	3	1	32	2
3	0	4	1	47	5
4	0	5	1	47	5
5	0	6	1	30	4
6	0	9	1	35	5
7	1	3	1	39	4
8	1	4	1	33	4
9	1	5	1	44	1
10	1	7	1	43	2
11	1	8	1	38	4
12	1	9	1	49	1
13	1	11	1	47	5
14	2	4	1	47	5
15	2	6	1	46	1
16	2	8	1	49	4
17	2	10	1	44	3
18	2	11	1	42	4
19	2	12	1	35	1
20	2	13	1	38	3
21	3	4	1	47	1
22	3	5	1	32	3
23	3	6	1	34	5
24	3	7	1	32	5
25	3	8	1	33	2
26	3	9	1	36	2
27	3	11	1	33	4
28	4	5	1	31	4
29	4	6	1	45	5
30	4	7	1	33	1
31	4	8	1	30	1
32	4	9	1	36	1
33	4	11	1	48	2
34	4	12	1	48	3
35	5	7	1	41	4
36	5	9	1	40	2
37	5	11	1	46	1
38	5	12	1	33	4
39	5	13	1	30	5
40	5	14	1	37	5
41	5	15	1	43	4
42	6	7	1	43	1
43	6	8	1	39	4
44	6	9	1	46	4
45	6	12	1	45	1
46	6	13	1	35	1
47	6	17	1	32	5
48	6	20	1	45	5
49	7	8	1	41	5
50	7	9	1	43	4
51	7	10	1	44	1
52	7	11	1	38	1
53	7	12	1	47	2
54	7	13	1	32	4
55	7	14	1	46	1
56	8	10	1	47	3
57	8	12	1	44	2
58	8	13	1	48	5
59	8	14	1	46	4
60	8	15	1	48	2
61	8	17	1	49	2
62	8	18	1	41	5
63	9	10	1	31	2
64	9	11	1	35	5
65	9	12	1	46	2
66	9	13	1	44	3
67	9	14	1	47	2
68	9	15	1	34	5
69	9	16	1	35	4
70	10	11	1	45	2
71	10	13	1	35	3
72	10	14	1	40	4
73	10	15	1	32	2
74	10	16	1	37	2
75	10	17	1	40	2
76	10	18	1	31	3
77	11	12	1	32	2
78	11	15	1	49	3
79	11	16	1	32	1
80	11	18	1	33	1
81	11	19	1	47	2
82	11	22	1	32	4
83	11	23	1	37	4
84	12	13	1	41	3
85	12	14	1	36	2
86	12	16	1	46	4
87	12	17	1	45	4
88	12	18	1	30	3
89	12	19	1	37	5
90	12	21	1	44	4
91	13	14	1	31	1
92	13	15	1	45	3
93	13	16	1	43	5
94	13	17	1	49	1
95	13	18	1	41	5
96	13	20	1	33	2
97	13	21	1	31	1
98	14	15	1	45	5
99	14	17	1	46	5
100	14	18	1	38	1
101	14	20	1	30	4
102	14	23	1	32	4
103	14	26	1	46	3
104	14	30	1	38	3
105	15	16	1	38	1
106	15	18	1	30	2
107	15	19	1	38	4
108	15	22	1	30	2
109	15	23	1	40	4
110	15	25	1	37	2
111	15	26	1	42	3
112	16	17	1	46	2
113	16	18	1	34	3
114	16	19	1	43	1
115	16	21	1	31	1
116	16	22	1	38	1
117	16	23	1	42	4
118	16	26	1	33	5
119	17	18	1	36	4
120	17	20	1	45	3
121	17	21	1	34	3
122	17	22	1	30	2
123	17	23	1	39	3
124	17	26	1	47	5
125	17	29	1	43	5
126	18	19	1	47	5
127	18	20	1	43	5
128	18	23	1	35	4
129	18	26	1	49	2
130	18	29	1	32	3
131	18	30	1	34	5
132	18	31	1	43	1
133	19	21	1	49	1
134	19	24	1	40	1
135	19	25	1	38	5
136	19	26	1	30	2
137	19	27	1	42	5
138	19	28	1	48	5
139	19	29	1	38	5
140	20	21	1	44	2
141	20	22	1	49	3
142	20	23	1	37	2
143	20	24	1	35	3
144	20	26	1	42	4
145	20	29	1	31	4
146	20	30	1	36	3
147	21	22	1	41	2
148	21	23	1	42	5
149	21	24	1	41	1
150	21	25	1	47	4
151	21	26	1	48	3
152	21	29	1	37	3
153	21	33	1	35	5
154	22	23	1	41	1
155	22	24	1	38	1
156	22	25	1	34	3
157	22	26	1	41	1
158	22	27	1	43	1
159	22	28	1	49	3
160	22	29	1	37	1
161	23	24	1	32	4
162	23	26	1	38	3
163	23	28	1	48	4
164	23	29	1	37	5
165	23	30	1	44	5
166	23	31	1	48	3
167	23	34	1	36	2
168	24	25	1	41	1
169	24	26	1	49	3
170	24	27	1	35	2
171	24	28	1	37	2
172	24	29	1	45	5
173	24	32	1	39	5
174	24	33	1	46	3
175	25	26	1	46	4
176	25	27	1	42	4
177	25	28	1	32	3
178	25	29	1	44	3
179	25	30	1	30	1
180	25	32	1	46	5
181	25	34	1	30	3
182	26	27	1	42	5
183	26	28	1	42	2
184	26	31	1	40	4
185	26	32	1	40	5
186	26	33	1	45	1
187	26	34	1	45	3
188	26	36	1	39	5
189	27	28	1	37	5
190	27	29	1	39	3
191	27	31	1	48	4
192	27	34	1	42	4
193	27	35	1	40	5
194	27	36	1	49	4
195	27	37	1	47	5
196	28	31	1	47	5
197	28	32	1	48	2
198	28	33	1	42	4
199	28	34	1	41	5
200	28	37	1	40	3
201	28	40	1	48	5
202	28	41	1	40	3
203	29	30	1	49	3
204	29	31	1	35	4
205	29	32	1	33	3
206	29	35	1	42	1
207	29	36	1	31	3
208	29	37	1	42	2
209	29	39	1	32	3
210	30	31	1	39	4
211	30	32	1	32	4
212	30	33	1	35	4
213	30	34	1	46	2
214	30	35	1	30	5
215	30	36	1	31	3
216	30	37	1	36	3
217	31	34	1	43	1
218	31	35	1	35	5
219	31	37	1	45	4
220	31	38	1	31	1
221	31	39	1	44	5
222	31	41	1	39	2
223	31	47	1	43	3
224	32	33	1	41	2
225	32	34	1	37	3
226	32	36	1	32	2
227	32	37	1	47	5
228	32	39	1	38	3
229	32	40	1	48	2
230	32	42	1	34	4
231	33	34	1	49	3
232	33	35	1	39	3
233	33	36	1	48	5
234	33	37	1	42	3
235	33	38	1	39	2
236	33	40	1	48	4
237	33	41	1	31	1
238	34	35	1	48	5
239	34	36	1	37	5
240	34	37	1	36	2
241	34	39	1	42	1
242	34	40	1	48	4
243	34	42	1	32	2
244	34	43	1	33	1
245	35	38	1	39	1
246	35	39	1	40	5
247	35	44	1	46	1
248	35	46	1	40	5
249	35	48	1	49	4
250	36	37	1	40	1
251	36	38	1	34	1
252	36	39	1	43	4
253	36	40	1	46	4
254	36	41	1	46	4
255	36	45	1	40	1
256	36	46	1	39	1
257	37	38	1	38	5
258	37	41	1	49	2
259	37	42	1	48	5
260	37	44	1	37	1
261	37	45	1	45	4
262	37	46	1	44	1
263	37	48	1	49	2
264	38	39	1	37	3
265	38	40	1	36	2
266	38	42	1	34	4
267	38	43	1	39	5
268	38	44	1	39	1
269	38	45	1	46	3
270	38	46	1	30	2
271	39	40	1	32	1
272	39	41	1	32	1
273	39	42	1	45	1
274	39	44	1	37	2
275	39	45	1	39	5
276	39	46	1	30	2
277	39	47	1	40	5
278	40	42	1	48	2
279	40	43	1	41	2
280	40	45	1	41	2
281	40	46	1	34	5
282	40	47	1	39	5
283	40	48	1	45	4
284	40	49	1	40	2
285	41	44	1	46	4
286	41	45	1	37	4
287	41	46	1	44	3
288	41	48	1	41	2
289	41	49	1	42	2
290	42	44	1	41	2
291	42	45	1	44	3
292	42	46	1	47	3
293	42	48	1	30	4
294	42	49	1	42	4
295	43	44	1	32	3
296	43	47	1	39	1
297	43	49	1	46	1
298	44	45	1	49	2
299	44	47	1	31	5
300	44	48	1	45	2
301	44	49	1	44	2
302	45	47	1	42	5
303	45	48	1	48	3
304	45	49	1	38	1
305	46	48	1	35	5
306	47	49	1	37	5
307	40	39	1	46	1
308	41	39	1	40	4
309	42	40	1	34	2
