nodeName	isFacility	cost	nodeCapacity	location	on/off   function
0	1	1	13	1	false     0
1	1	1	10	1	false     0
2	1	1	8	1	true     5
3	1	1	6	1	false     0
4	1	1	6	1	true     1
5	1	1	14	1	true     4
6	1	1	13	1	false     0
7	1	1	5	1	true     3
8	1	1	7	1	false     0
9	1	1	12	1	true     9
10	1	1	13	1	false     0
11	1	1	13	1	false     0
12	1	1	6	1	false     0
13	1	1	14	1	false     0
14	1	1	14	1	true     5
15	1	1	13	1	false     0
16	1	1	13	1	false     0
17	1	1	6	1	true     2
18	1	1	5	1	false     0
19	1	1	13	1	true     5
20	1	1	11	1	false     0
21	1	1	5	1	true     1
22	1	1	6	1	false     0
23	1	1	7	1	false     0
24	1	1	9	1	true     5
25	1	1	8	1	true     4
26	1	1	11	1	true     2
27	1	1	10	1	true     2
28	1	1	5	1	false     0
29	1	1	7	1	true     4
30	1	1	9	1	false     0
31	1	1	9	1	true     1
32	1	1	5	1	true     4
33	1	1	11	1	true     5
34	1	1	7	1	false     0
35	1	1	11	1	false     0
36	1	1	8	1	true     1
37	1	1	9	1	true     7
38	1	1	9	1	true     8
39	1	1	5	1	false     0
40	1	1	8	1	true     9
41	1	1	6	1	true     1
42	1	1	13	1	true     4
43	1	1	7	1	true     8
44	1	1	11	1	false     0
45	1	1	14	1	false     0
46	1	1	10	1	false     0
47	1	1	7	1	true     9
48	1	1	11	1	true     5
49	1	1	11	1	false     0
